"CountyName","DwellingTypeDescr","Year_of_Construction","TypeofRating","EnergyRating","BerRating","GroundFloorArea.sq.m.","UValueWall","UValueRoof","UValueFloor","UValueWindow","UvalueDoor","WallArea","RoofArea","FloorArea","WindowArea","DoorArea","NoStoreys","CO2Rating","MainSpaceHeatingFuel","MainWaterHeatingFuel","HSMainSystemEfficiency","MultiDwellingMPRN","TGDLEdition","MPCDERValue","HSEffAdjFactor","HSSupplHeatFraction","HSSupplSystemEff","WHMainSystemEff","WHEffAdjFactor","SupplSHFuel","SupplWHFuel","SHRenewableResources","WHRenewableResources","NoOfChimneys","NoOfOpenFlues","NoOfFansAndVents","NoOfFluelessGasFires","DraftLobby","VentilationMethod","FanPowerManuDeclaredValue","HeatExchangerEff","StructureType","SuspendedWoodenFloor","PercentageDraughtStripped","NoOfSidesSheltered","PermeabilityTest","PermeabilityTestResult","TempAdjustment","HeatSystemControlCat","HeatSystemResponseCat","NoCentralHeatingPumps","CHBoilerThermostatControlled","NoOilBoilerHeatingPumps","OBBoilerThermostatControlled","OBPumpInsideDwelling","NoGasBoilerHeatingPumps","WarmAirHeatingSystem","UndergroundHeating","GroundFloorUValue","DistributionLosses","StorageLosses","ManuLossFactorAvail","SolarHotWaterHeating","ElecImmersionInSummer","CombiBoiler","KeepHotFacility","WaterStorageVolume","DeclaredLossFactor","TempFactorUnadj","TempFactorMultiplier","InsulationType","InsulationThickness","PrimaryCircuitLoss","CombiBoilerAddLoss","ElecConsumpKeepHot","ApertureArea","ZeroLossCollectorEff","CollectorHeatLossCoEff","AnnualSolarRadiation","OvershadingFactor","CylinderStat","SolarStorageVolume","VolumeOfPreHeatStore","CombinedCylinder","ElectricityConsumption","SWHPumpSolarPowered","ChargingBasisHeatConsumed","gsdHSSupplHeatFraction","gsdHSSupplSystemEff","DistLossFactor","CHPUnitHeatFraction","CHPSystemType","CHPElecEff","CHPHeatEff","CHPFuelType","SupplHSFuelTypeID","gsdSHRenewableResources","gsdWHRenewableResources","SolarHeatFraction","DeliveredLightingEnergy","DeliveredEnergyPumpsFans","DeliveredEnergyMainWater","DeliveredEnergyMainSpace","PrimaryEnergyLighting","PrimaryEnergyPumpsFans","PrimaryEnergyMainWater","PrimaryEnergyMainSpace","CO2Lighting","CO2PumpsFans","CO2MainWater","CO2MainSpace","GroundFloorArea","GroundFloorHeight","FirstFloorArea","FirstFloorHeight","SecondFloorArea","SecondFloorHeight","ThirdFloorArea","ThirdFloorHeight","ThermalBridgingFactor","ThermalMassCategory","PredominantRoofTypeArea","PredominantRoofType","LowEnergyLightingPercent","TotalDeliveredEnergy","DeliveredEnergySecondarySpace","DeliveredEnergySupplementaryWater","LivingAreaPercent","CO2SecondarySpace","CO2SupplementaryWater","PrimaryEnergySecondarySpace","PrimaryEnergySupplementaryWater","HESSchemeUpgrade","RoomInRoofArea","PurposeOfRating","DateOfAssessment","FirstEnergyTypeId","FirstEnergyType_Description","FirstEnerProdComment","FirstEnerProdDelivered","FirstPartLTotalContribution","FirstEnerProdConvFactor","FirstEnerProdCO2EmissionFactor","FirstEnerConsumedComment","FirstEnerConsumedDelivered","FirstEnerConsumedConvFactor","FirstEnerConsumedCO2EmissionFactor","SecondEnergyTypeId","SecondEnergyType_Description","SecondEnerProdComment","SecondEnerProdDelivered","SecondPartLTotalContribution","SecondEnerProdConvFactor","SecondEnerProdCO2EmissionFactor","SecondEnerConsumedComment","SecondEnerConsumedDelivered","SecondEnerConsumedConvFactor","SecondEnerConsumedCO2EmissionFactor","ThirdEnergyTypeId","ThirdEnergyType_Description","ThirdEnerProdComment","ThirdEnerProdDelivered","ThirdPartLTotalContribution","ThirdEnerProdConvFactor","ThirdEnerProdCO2EmissionFactor","ThirdEnerConsumedComment","ThirdEnerConsumedDelivered","ThirdEnerConsumedConvFactor","ThirdEnerConsumedCO2EmissionFactor","FirstBoilerFuelType","FirstHeatGenPlantEff","FirstPercentageHeat","SecondBoilerFuelType","SecondHeatGenPlantEff","SecondPercentageHeat","ThirdBoilerFuelType","ThirdHeatGenPlantEff","ThirdPercentageHeat","SolarSpaceHeatingSystem","TotalPrimaryEnergyFact","TotalCO2Emissions","FirstWallType_Description","FirstWallDescription","FirstWallArea","FirstWallUValue","FirstWallIsSemiExposed","FirstWallAgeBandId","FirstWallTypeId","SecondWallType_Description","SecondWallDescription","SecondWallArea","SecondWallUValue","SecondWallIsSemiExposed","SecondWallAgeBandId","SecondWallTypeId","ThirdWallType_Description","ThirdWallDescription","ThirdWallArea","ThirdWallUValue","ThirdWallIsSemiExposed","ThirdWallAgeBandId","ThirdWallTypeId"
"Co. Kilkenny","Detached house",2004,"Existing       ","C3",209.63,148.27,0.55,0.37,0.44,2.4,3,154.59,88.87,89,33.06,3.7,2,52.03,"Heating Oil                   ","Heating Oil                   ",85.7,"NO",0,42.48,0.95,0.1,60,85.7,0.95,8,28,2,2,0,1,0,0,"NO","Natural vent.",0,0,"Masonry                       ","No                            ",100,0,"NO",0,0.6,1,1,1,"NO ",1,"NO ","NO ",0,"NO ","NO ",0,430.13,"YES","NO ","NO ","YES","None                          ","None                          ",114,0,0.6,1.3,"Factory Insulated             ",30,"Boiler with uninsulated primar",0,0,NA,NA,NA,NA,NA,"NO ",NA,NA,"NO ",NA,"NO ","NO ",NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,1204.323,230,3775.285,15660.175,3251.672,621,4152.814,17226.193,774.38,147.89,1026.878,4259.568,89,2.48,59.27,2.69,0,0,0,0,0.15,"Medium              ",59.27,"",20,24341.695,2360.626,1111.286,15.4718,925.365,714.557,2832.751,3000.472,0,0,"Sale","Dec  9 2013 12:00AM",1,"Renewable Thermal","",0,0,0,0,"",0,0,0,1,"Renewable Thermal","",0,0,0,0,"",0,0,0,1,"Renewable Thermal","",0,0,0,0,"",0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"300mm Cavity","",148.59,0.55,"No",9,4,"300mm Cavity","",6,0.484,"Yes",9,4,"","",NA,NA,"",NA,NA
"Co. Roscommon","Semi-detached house",2004,"Existing       ","D1",233.8,93.6,0.55,0.4,0.41,2,3,93.4,46.8,46.8,11.88,3.7,2,59.54,"Heating Oil                   ","Heating Oil                   ",85,"NO",0,48.41,0.95,0.1,30,85,0.95,15,28,2,2,1,0,2,0,"NO","Natural vent.",0,0,"Masonry                       ","No                            ",100,2,"NO",0,0.6,1,1,1,"NO ",1,"NO ","NO ",0,"NO ","NO ",0,319.813,"YES","NO ","NO ","YES","None                          ","None                          ",98,0,0.6,1.3,"Factory Insulated             ",30,"Boiler with uninsulated primar",0,0,NA,NA,NA,NA,NA,"NO ",NA,NA,"NO ",NA,"NO ","NO ",NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,844.74,230,3196.159,9180.046,2280.798,621,3515.775,10098.051,543.168,147.89,869.355,2496.973,46.8,2.48,46.8,2.79,0,0,0,0,0.15,"Medium              ",46.8,"",0,17063.348,2743.814,868.589,17.3077,1012.467,558.503,3018.195,2345.19,0,0,"Sale","Dec 17 2013 12:00AM",1,"Renewable Thermal","",0,0,0,0,"",0,0,0,1,"Renewable Thermal","",0,0,0,0,"",0,0,0,1,"Renewable Thermal","",0,0,0,0,"",0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"300mm Cavity","",93.4,0.55,"No",9,4,"","",NA,NA,"",NA,NA,"","",NA,NA,"",NA,NA
"Co. Cork","Mid-terrace house",1900,"Existing       ","C2",185.27,74.41,1.37,1.58,0.56,3.31,3,42.46,37.45,36.2,10.78,2.09,3,45.42,"Heating Oil                   ","Heating Oil                   ",92,"NO",0,29.71,1,0,0,92,1,1,1,2,2,0,0,1,0,"NO","Natural vent.",0,0,"Masonry                       ","No                            ",100,2,"NO",0,0,3,1,1,"YES",1,"YES","NO ",0,"NO ","NO ",0,276.866,"NO ","YES","NO ","NO ","Storage combi boiler store vol","None                          ",0,0,0,0,"None                          ",0,"Combi boiler                  ",0,0,NA,NA,NA,NA,NA,"NO ",NA,NA,"NO ",NA,"NO ","NO ",NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,335.775,230,2006.275,9135.02,906.593,621,2206.903,10048.522,215.903,147.89,545.707,2484.725,29.6,2.37,36.2,2.7,8.61,1.97,0,0,0.15,"Medium              ",14.88,"",100,11707.07,0,0,15.9656,0,0,0,0,0,0,"Private Letting","Dec 15 2013 12:00AM",1,"Renewable Thermal","",0,0,0,0,"",0,0,0,1,"Renewable Thermal","",0,0,0,0,"",0,0,0,1,"Renewable Thermal","",0,0,0,0,"",0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"300mm Cavity","Rear Walls",15.31,0.6,"No",7,4,"Stone","Front Walls",14.03,2.1,"No",2,1,"Timber Frame","Dormer Walls",13.12,1.5,"No",7,8
"Co. Cork","End of terrace house",2007,"Existing       ","C1",151.06,99.71,0.37,0.21,0.37,2.1,1.54,97.05,49.74,49.97,16.92,5.08,2,34.91,"Bulk LPG (propane or butane)  ","Bulk LPG (propane or butane)  ",90.8,"NO",0,34.92,1,0.1,30,90.8,1,15,1,2,2,1,0,4,0,"NO","Natural vent.",0,0,"Timber or Steel Frame         ","No                            ",92,2,"NO",0,0,3,1,1,"YES",0,"NO ","NO ",1,"NO ","NO ",0,333.104,"YES","NO ","NO ","NO ","None                          ","None                          ",184,0,0.6,0.9,"Factory Insulated             ",35,"Boiler with uninsulated primar",0,0,NA,NA,NA,NA,NA,"NO ",NA,NA,"NO ",NA,"NO ","NO ",NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,899.883,175,3668.166,5527.412,2429.684,472.5,4034.983,6080.153,578.625,112.525,851.015,1282.36,49.97,2.45,49.74,2.7,0,0,0,0,0.15,"Medium-low          ",36.63,"1st floor ceiling - 200mm Cell",0,12129.309,1858.848,0,18.2128,685.915,0,2044.733,0,0,0,"Sale","Dec 19 2013 12:00AM",1,"Renewable Thermal","",0,0,0,0,"",0,0,0,1,"Renewable Thermal","",0,0,0,0,"",0,0,0,1,"Renewable Thermal","",0,0,0,0,"",0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Timber Frame","External Walls",92.85,0.37,"No",10,8,"Timber Frame","Semi-exposed external walls to",4.2,0.339,"Yes",10,8,"","",NA,NA,"",NA,NA
"Co. Louth","Mid-terrace house",2013,"Existing       ","B3",145.66,100.72,0.37,0.13,0.35,2.7,3,77.32,55.7,55.7,15.52,2.03,2,37.56,"Heating Oil                   ","Heating Oil                   ",92.6,"NO",3,38.13,1.01,0.1,30,92.6,1.01,6,1,2,2,1,0,4,0,"NO","Natural vent.",0,0,"Masonry                       ","No                            ",100,2,"NO",0,0,2,1,1,"YES",1,"YES","NO ",0,"NO ","NO ",0,335.264,"YES","NO ","NO ","NO ","None                          ","None                          ",130,0,0.6,0.9,"Factory Insulated             ",35,"Boiler with uninsulated primar",0,0,NA,NA,NA,NA,NA,"NO ",NA,NA,"NO ",NA,"NO ","NO ",NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,454.499,230,3576.646,5999.787,1227.147,621,3934.311,6599.766,292.243,147.89,972.848,1631.942,45.02,2.45,55.7,2.73,0,0,0,0,0.15,"Medium              ",55.7,"300mm Fibreglass              ",100,12338.636,2077.704,0,16.7792,750.051,0,2285.474,0,0,0,"Sale","Dec 17 2013 12:00AM",1,"Renewable Thermal","",0,0,0,0,"",0,0,0,1,"Renewable Thermal","",0,0,0,0,"",0,0,0,1,"Renewable Thermal","",0,0,0,0,"",0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"300mm Cavity","300mm Cavity Walls",77.32,0.37,"No",10,4,"","",NA,NA,"",NA,NA,"","",NA,NA,"",NA,NA
"Dublin 11","Top-floor apartment",2003,"Existing       ","C1",155.13,109,0.55,0.4,0,2.7,3,36.1,54.92,0,16.98,0.78,2,30.6,"Mains Gas                     ","Mains Gas                     ",78.8,"NO",0,28.4,0.95,0,0,78.8,0.95,1,28,2,2,0,0,6,0,"NO","Natural vent.",0,0,"Masonry                       ","No                            ",100,4,"NO",0,0.6,1,1,1,"NO ",0,"NO ","NO ",1,"NO ","NO ",0,352.709,"YES","NO ","NO ","YES","None                          ","None                          ",95,0,0.6,1.3,"Factory Insulated             ",30,"Boiler with uninsulated primar",0,0,NA,NA,NA,NA,NA,"NO ",NA,NA,"NO ",NA,"NO ","NO ",NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,865.678,175,3643.913,6862.288,2337.331,472.5,4008.304,7548.517,556.631,112.525,739.714,1393.044,54.9,2.44,54.1,2.75,0,0,0,0,0.15,"Medium              ",54.1,"Type 1                        ",24,12487.838,0,940.959,23.3303,0,605.037,0,2540.589,0,0,"Private Letting","Jan  9 2014 12:00AM",1,"Renewable Thermal","",0,0,0,0,"",0,0,0,1,"Renewable Thermal","",0,0,0,0,"",0,0,0,1,"Renewable Thermal","",0,0,0,0,"",0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"300mm Cavity","Type 1",36.1,0.55,"No",9,4,"","",NA,NA,"",NA,NA,"","",NA,NA,"",NA,NA
"Co. Louth","Mid-terrace house",1975,"Existing       ","E1",312.41,80.02,1.78,0.68,0.61,5.7,0,37.82,40.01,40.01,16.29,0,2,60.08,"Mains Gas                     ","Mains Gas                     ",73,"NO",0,38.09,0.95,0.1,40,73,0.95,2,28,2,2,0,1,2,0,"NO","Natural vent.",0,0,"Masonry                       ","No                            ",100,2,"NO",0,0.6,1,1,1,"NO ",0,"NO ","NO ",1,"NO ","NO ",0,289.659,"YES","NO ","NO ","YES","None                          ","None                          ",95,0,0.6,1.3,"Loose Jacket                  ",50,"Boiler with uninsulated primar",0,0,NA,NA,NA,NA,NA,"NO ",NA,NA,"NO ",NA,"NO ","NO ",NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,722.181,175,3817.172,12148.75,1949.889,472.5,4198.889,13363.625,464.362,112.525,774.886,2466.196,40.01,2.38,40.01,2.63,0,0,0,0,0.15,"Medium              ",40.01,"Roof Insulated at Ceiling Leve",0,20106.361,2342.009,901.249,17.6081,475.428,579.503,2576.21,2433.372,0,0,"Sale","Jan 31 2014 12:00AM",1,"Renewable Thermal","",0,0,0,0,"",0,0,0,1,"Renewable Thermal","",0,0,0,0,"",0,0,0,1,"Renewable Thermal","",0,0,0,0,"",0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"300mm Cavity","300mm Cavity Walls",37.82,1.78,"No",5,4,"","",NA,NA,"",NA,NA,"","",NA,NA,"",NA,NA
"Dublin 4","Mid-terrace house",1997,"Existing       ","E1",318.19,74.41,0.55,0.4,0.44,2.84,3,60.73,44.37,28.8,8.97,1.85,2,75.05,"Electricity                   ","Electricity                   ",100,"NO",0,73.81,1,0.1,30,100,1,8,1,2,2,1,0,5,0,"NO","Natural vent.",0,0,"Masonry                       ","No                            ",100,4,"NO",0,0.3,3,2,0,"NO ",0,"NO ","NO ",0,"NO ","NO ",0,276.866,"YES","NO ","NO ","NO ","None                          ","None                          ",100,0,0.6,1,"Factory Insulated             ",50,"Boiler with uninsulated primar",0,0,NA,NA,NA,NA,NA,"NO ",NA,NA,"NO ",NA,"NO ","NO ",NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,587.606,0,3465.773,4049.172,1586.536,0,9357.587,10932.764,377.831,0,2228.492,2603.618,28.8,2.45,28.8,2.7,0,0,0,0,0.15,"Medium              ",32.37,"",25,9602.244,1499.693,0,22.7926,587.88,0,1799.632,0,0,16.81,"Private Letting","Jan 30 2014 12:00AM",1,"Renewable Thermal","",0,0,0,0,"",0,0,0,1,"Renewable Thermal","",0,0,0,0,"",0,0,0,1,"Renewable Thermal","",0,0,0,0,"",0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"300mm Filled Cavity","",60.73,0.55,"No",8,5,"","",NA,NA,"",NA,NA,"","",NA,NA,"",NA,NA
"Co. Tipperary","Detached house",2011,"Existing       ","B2",106.72,232.27,0.37,0.13,0.17,2.65,3,161.29,165.71,148.68,44,8,2,27.07,"Heating Oil                   ","Heating Oil                   ",94.4,"NO",0,31.38,0.95,0.1,50,94.4,0.95,6,28,2,2,0,1,0,0,"NO","Natural vent.",0,0,"Masonry                       ","No                            ",100,2,"NO",0,0,3,1,1,"NO ",1,"NO ","YES",0,"NO ","NO ",0,564.87,"YES","NO ","YES","YES","None                          ","None                          ",250,0,0.6,0.9,"Factory Insulated             ",40,"Boiler with insulated primary ",0,0,6.04,0.6,3,1072,1,"YES",250,NA,"YES",75,"NO ","NO ",NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,1048.118,230,2239.948,13596.74,2829.919,621,2463.943,14956.414,673.94,147.89,609.266,3698.313,148.68,2.5,0,0,0,0,0,0,0.15,"Medium              ",165.705,"",100,20169.873,2710.284,344.783,14.2851,978.413,221.695,2981.312,930.914,0,83.59,"Other","Feb 10 2014 12:00AM",1,"Renewable Thermal","",0,0,0,0,"",0,0,0,1,"Renewable Thermal","",0,0,0,0,"",0,0,0,1,"Renewable Thermal","",0,0,0,0,"",0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"300mm Filled Cavity","",161.288,0.37,"No",10,5,"","",NA,NA,"",NA,NA,"","",NA,NA,"",NA,NA
"Co. Mayo","Detached house",2005,"Provisional    ","G ",512.01,165.26,0.37,2.3,0.37,2.8,3,167.5,82.6,82.6,26.4,3.7,2,115.99,"Electricity                   ","Electricity                   ",100,"NO",0,71.75,1,0.1,30,100,0.95,28,1,2,2,1,0,1,0,"NO","Natural vent.",0,0,"Masonry                       ","No                            ",100,2,"NO",0,0.3,3,5,0,"NO ",0,"NO ","NO ",0,"NO ","NO ",0,0,"NO ","YES","NO ","NO ","None                          ","None                          ",0,0,0,0,"None                          ",0,"None                          ",0,0,NA,NA,NA,NA,NA,"NO ",NA,NA,"NO ",NA,"NO ","NO ",NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,1491.471,0,2748.529,19774.804,4026.972,0,7421.028,53391.971,959.016,0,1767.304,12715.199,82.63,2.7,82.63,2.5,0,0,0,0,0.15,"Medium-high         ",82.6,"",0,31338.805,7324.001,0,15.4907,4709.333,0,19774.803,0,0,0,"Sale","Feb 13 2014 12:00AM",1,"Renewable Thermal","",0,0,0,0,"",0,0,0,1,"Renewable Thermal","",0,0,0,0,"",0,0,0,1,"Renewable Thermal","",0,0,0,0,"",0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"300mm Cavity","",167.5,0.37,"No",10,4,"","",NA,NA,"",NA,NA,"","",NA,NA,"",NA,NA
"Co. Kerry","Mid-terrace house",1973,"Existing       ","C1",174.17,133.33,0.37,1.78,0.52,3.41,3,67.71,30.49,66.31,15.92,3.7,3,43.82,"Heating Oil                   ","Heating Oil                   ",85.1,"NO",0,31.86,0.95,0.1,71.4,85.1,0.95,15,1,2,2,0,1,0,0,"YES","Natural vent.",0,0,"Masonry                       ","No                            ",100,2,"NO",0,0.6,1,1,1,"NO ",1,"NO ","NO ",0,"NO ","NO ",0,401.803,"YES","NO ","NO ","NO ","None                          ","None                          ",110,0,0.6,0.9,"Factory Insulated             ",50,"Boiler with uninsulated primar",0,0,NA,NA,NA,NA,NA,"NO ",NA,NA,"NO ",NA,"NO ","NO ",NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,709.949,230,4562.667,12653.344,1916.862,621,5018.934,13918.678,456.497,147.89,1241.045,3441.71,52.45,2.44,59.09,2.8,0,0,0,0,0.15,"Medium              ",21.79,"",82,19746.981,1591.021,0,18.968,587.087,0,1750.123,0,0,21.79,"Grant Support","Feb  5 2014 12:00AM",1,"Renewable Thermal","",0,0,0,0,"",0,0,0,1,"Renewable Thermal","",0,0,0,0,"",0,0,0,1,"Renewable Thermal","",0,0,0,0,"",0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"300mm Cavity","ex walls",67.71,0.37,"No",5,4,"","",NA,NA,"",NA,NA,"","",NA,NA,"",NA,NA
"Waterford City","Mid-terrace house",1985,"Existing       ","C2",193.87,82.02,0.29,0.13,0.48,3.34,0,54.84,41.01,41.01,14.47,0,2,37.57,"Mains Gas                     ","Mains Gas                     ",79.9,"NO",0,35.88,0.95,0.1,100,79.9,0.95,28,1,2,2,1,0,0,0,"NO","Natural vent.",0,0,"Masonry                       ","No                            ",100,3,"NO",0,0.6,1,1,1,"NO ",0,"NO ","NO ",1,"NO ","NO ",0,294.145,"YES","NO ","NO ","NO ","None                          ","None                          ",84,0,0.6,1.17,"Loose Jacket                  ",20,"Boiler with uninsulated primar",0,0,NA,NA,NA,NA,NA,"NO ",NA,NA,"NO ",NA,"NO ","NO ",NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,740.231,175,5903.384,5225.506,1998.624,472.5,6493.722,5748.057,475.969,112.525,1198.387,1060.778,41.01,2.48,41.01,2.71,0,0,0,0,0.15,"Medium              ",41.009,"Approx 300mm                  ",0,12484.805,440.684,0,16.3984,283.36,0,1189.847,0,0,0,"Other","Feb 12 2014 12:00AM",1,"Renewable Thermal","",0,0,0,0,"",0,0,0,1,"Renewable Thermal","",0,0,0,0,"",0,0,0,1,"Renewable Thermal","",0,0,0,0,"",0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"300mm Cavity","All external walls with 100mm ",54.84,0.29,"No",7,4,"","",NA,NA,"",NA,NA,"","",NA,NA,"",NA,NA
"Dublin 1","Mid-floor apartment",2009,"Existing       ","D1",242.61,69.68,0.59,0,0,2.2,1.36,70.69,0,0,8.68,1.85,1,54.96,"Electricity                   ","Electricity                   ",100,"NO",0,57.3,1,0.2,100,100,1,28,1,2,2,0,0,6,0,"YES","Natural vent.",0,0,"Masonry                       ","No                            ",100,2,"NO",0,0.3,2,1,0,"NO ",0,"NO ","NO ",0,"NO ","NO ",0,265.984,"YES","NO ","NO ","NO ","None                          ","None                          ",84,0,0.6,1,"Factory Insulated             ",35,"Electric immersion heater     ",0,0,NA,NA,NA,NA,NA,"NO ",NA,NA,"NO ",NA,"NO ","NO ",NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,421.338,0,2273.225,2853.258,1137.613,0,6137.708,7703.797,270.92,0,1461.684,1834.645,0,0,69.68,2.3,0,0,0,0,0.15,"Medium              ",NA,"",66,6261.135,713.314,0,48.5075,458.661,0,1925.948,0,0,0,"Private Letting","Feb 21 2014 12:00AM",1,"Renewable Thermal","",0,0,0,0,"",0,0,0,1,"Renewable Thermal","",0,0,0,0,"",0,0,0,1,"Renewable Thermal","",0,0,0,0,"",0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Solid Mass Concrete","",50.21,0.37,"No",10,6,"","",20.48,1.13,"No",10,14,"","",NA,NA,"",NA,NA
"Co. Mayo","Semi-detached house",2003,"Existing       ","G ",499.76,88,0.55,0.26,0.41,3.1,3,73.39,88,88,10.58,1.85,1,119.37,"Electricity                   ","Electricity                   ",100,"NO",0,93.46,1,0.1,30,100,1,15,1,2,2,1,1,0,5,"NO","Natural vent.",0,0,"Masonry                       ","No                            ",100,1,"NO",0,0.6,1,3,0,"NO ",0,"NO ","NO ",0,"NO ","NO ",0,307.519,"YES","NO ","NO ","NO ","None                          ","None                          ",110,0,0.6,1,"Loose Jacket                  ",50,"Electric immersion heater     ",0,0,NA,NA,NA,NA,NA,"NO ",NA,NA,"NO ",NA,"NO ","NO ",NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,754.49,0,2850.125,11019.584,2037.123,0,7695.338,29752.877,485.137,0,1832.63,7085.593,88,2.6,0,0,0,0,0,0,0.15,"Medium              ",88,"attic space                   ",10,18705.526,4081.327,0,13.9773,1506.01,0,4489.46,0,0,0,"Private Letting","Mar 13 2014 12:00AM",1,"Renewable Thermal","",0,0,0,0,"",0,0,0,1,"Renewable Thermal","",0,0,0,0,"",0,0,0,1,"Renewable Thermal","",0,0,0,0,"",0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"300mm Cavity","front elevation",22.91,0.55,"No",9,4,"300mm Cavity","side elevation",22.54,0.55,"No",9,4,"300mm Cavity","side elevation",20.44,0.55,"No",9,4
"Co. Wexford","Ground-floor apartment",1990,"Existing       ","E1",338.92,53.26,0.6,0,0.54,4.8,3,44.96,0,73.17,6.93,3.87,1,86.9,"Heating Oil                   ","Heating Oil                   ",83.2,"YES",0,61.3,0.95,0.1,30,83.2,0.95,15,28,2,2,1,0,0,0,"NO","Natural vent.",0,0,"Masonry                       ","No                            ",100,3,"NO",0,0.6,1,1,1,"NO ",1,"NO ","NO ",0,"NO ","NO ",0,226.941,"YES","NO ","NO ","YES","None                          ","None                          ",91,0,0.6,1.3,"Loose Jacket                  ",40,"Boiler with insulated primary ",0,0,NA,NA,NA,NA,NA,"NO ",NA,NA,"NO ",NA,"NO ","NO ",NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,240.336,230,2562.461,8306.846,648.907,621,2818.707,9137.531,154.536,147.89,696.989,2259.462,53.26,2.48,0,0,0,0,0,0,0.15,"High                ",NA,"",100,14566.435,2430.522,796.27,46.4326,896.863,512.002,2673.574,2149.929,0,0,"Private Letting","Feb 13 2014 12:00AM",1,"Renewable Thermal","",0,0,0,0,"",0,0,0,1,"Renewable Thermal","",0,0,0,0,"",0,0,0,1,"Renewable Thermal","",0,0,0,0,"",0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"300mm Cavity","",44.96,0.6,"No",7,4,"","",NA,NA,"",NA,NA,"","",NA,NA,"",NA,NA
"Co. Wicklow","Semi-detached house",2002,"Existing       ","C3",210.86,86.24,0.3,0.15,0.44,2.8,3,90.33,44.64,44.64,8.64,3.7,2,44.16,"Mains Gas                     ","Mains Gas                     ",78.8,"NO",0,39.32,0.95,0.1,30,78.8,0.95,15,1,2,2,1,0,2,0,"NO","Natural vent.",0,0,"Masonry                       ","No                            ",100,2,"NO",0,0.6,1,1,1,"NO ",0,"NO ","NO ",1,"NO ","NO ",0,303.614,"YES","NO ","NO ","NO ","None                          ","None                          ",96,0,0.6,1.17,"Factory Insulated             ",50,"Boiler with uninsulated primar",0,0,NA,NA,NA,NA,NA,"NO ",NA,NA,"NO ",NA,"NO ","NO ",NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,583.737,175,4867.881,7670.126,1576.09,472.5,5354.669,8437.139,375.343,112.525,988.18,1557.036,44.64,2.46,41.6,2.68,0,0,0,0,0.15,"Medium              ",41.6,"",50,15424.494,2127.75,0,16.9875,785.14,0,2340.525,0,0,0,"Grant Support","Mar 21 2014 12:00AM",1,"Renewable Thermal","",0,0,0,0,"",0,0,0,1,"Renewable Thermal","",0,0,0,0,"",0,0,0,1,"Renewable Thermal","",0,0,0,0,"",0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"300mm Cavity","",90.33,0.3,"No",9,4,"","",NA,NA,"",NA,NA,"","",NA,NA,"",NA,NA
